FrageSubjekt;AntwortSubjekt;InfoUrlFrage;InfoUrlAntwort
Ein Sonntagnachmittag auf der Insel La Grande Jatte (1884-1886);Georges Seurat (1859-1891);https://de.wikipedia.org/wiki/Ein_Sonntagnachmittag_auf_der_Insel_La_Grande_Jatte;https://de.wikipedia.org/wiki/Georges_Seurat
Olympia (1863);Édouard Manet (1832-1883);https://de.wikipedia.org/wiki/Olympia_(Manet);https://de.wikipedia.org/wiki/%C3%89douard_Manet
Das Nachtcafé (1888);Vincent van Gogh (1853-1890);https://de.wikipedia.org/wiki/Das_Nachtcaf%C3%A9;https://de.wikipedia.org/wiki/Vincent_van_Gogh
Schlafzimmer in Arles (1888);Vincent van Gogh (1853-1890);https://de.wikipedia.org/wiki/Schlafzimmer_in_Arles;https://de.wikipedia.org/wiki/Vincent_van_Gogh
Sonnenblumen (1888);Vincent van Gogh (1853-1890);https://de.wikipedia.org/wiki/Sonnenblumen_(van_Gogh);https://de.wikipedia.org/wiki/Vincent_van_Gogh
Bildnis des Dr. Gachet (1890);Vincent van Gogh (1853-1890);https://de.wikipedia.org/wiki/Bildnis_des_Dr._Gachet;https://de.wikipedia.org/wiki/Vincent_van_Gogh
Sternennacht über der Rhone (1888);Vincent van Gogh (1853-1890);https://de.wikipedia.org/wiki/Sternennacht_%C3%BCber_der_Rhone;https://de.wikipedia.org/wiki/Vincent_van_Gogh
Das Milchmädchen (1658-1660);Johannes Vermeer (1632-1675);https://de.wikipedia.org/wiki/Das_Milchm%C3%A4dchen;https://de.wikipedia.org/wiki/Johannes_Vermeer
Die Ansicht von Delft (1660-1661);Johannes Vermeer (1632-1675);https://de.wikipedia.org/wiki/Die_Ansicht_von_Delft;https://de.wikipedia.org/wiki/Johannes_Vermeer
Die Malkunst (1666-1668);Johannes Vermeer (1632-1675);https://de.wikipedia.org/wiki/Die_Malkunst;https://de.wikipedia.org/wiki/Johannes_Vermeer
Der Astronom (1668);Johannes Vermeer (1632-1675);https://de.wikipedia.org/wiki/Der_Astronom;https://de.wikipedia.org/wiki/Johannes_Vermeer
Der Geograph (1669);Johannes Vermeer (1632-1675);https://de.wikipedia.org/wiki/Der_Geograph;https://de.wikipedia.org/wiki/Johannes_Vermeer
Der 3. Mai 1808 (1814);Francisco de Goya (1746-1828);https://de.wikipedia.org/wiki/Der_3._Mai_1808;https://de.wikipedia.org/wiki/Francisco_de_Goya
Die nackte Maja (1797-1800);Francisco de Goya (1746-1828);https://de.wikipedia.org/wiki/Die_nackte_Maja;https://de.wikipedia.org/wiki/Francisco_de_Goya
Saturn verschlingt seinen Sohn (1819-1823);Francisco de Goya (1746-1828);https://de.wikipedia.org/wiki/Saturn_verschlingt_seinen_Sohn;https://de.wikipedia.org/wiki/Francisco_de_Goya
Die Jäger im Schnee (1565);Pieter Bruegel der Ältere (1525-1569);https://de.wikipedia.org/wiki/Die_J%C3%A4ger_im_Schnee;https://de.wikipedia.org/wiki/Pieter_Bruegel_der_%C3%84ltere
Bauernhochzeit (1567);Pieter Bruegel der Ältere (1525-1569);https://de.wikipedia.org/wiki/Bauernhochzeit;https://de.wikipedia.org/wiki/Pieter_Bruegel_der_%C3%84ltere
Sixtinische Madonna (1512);Raffael (1483-1520);https://de.wikipedia.org/wiki/Sixtinische_Madonna;https://de.wikipedia.org/wiki/Raffael
Venus von Urbino (1538);Tizian (1488/1490-1576);https://de.wikipedia.org/wiki/Venus_von_Urbino;https://de.wikipedia.org/wiki/Tizian
Ein Begräbnis in Ornans (1849-1850);Gustave Courbet (1819-1877);https://de.wikipedia.org/wiki/Ein_Begr%C3%A4bnis_in_Ornans;https://de.wikipedia.org/wiki/Gustave_Courbet
Der Ursprung der Welt (1866);Gustave Courbet (1819-1877);https://de.wikipedia.org/wiki/Der_Ursprung_der_Welt_(Gem%C3%A4lde);https://de.wikipedia.org/wiki/Gustave_Courbet
Straße in Paris, Regenwetter (1877);Gustave Caillebotte (1848-1894);https://de.wikipedia.org/wiki/Stra%C3%9Fe_in_Paris,_Regenwetter;https://de.wikipedia.org/wiki/Gustave_Caillebotte
Arrangement in Grau und Schwarz Nr. 1 (1872);James McNeill Whistler (1834-1903);https://de.wikipedia.org/wiki/Arrangement_in_Grau_und_Schwarz%3A_Portr%C3%A4t_der_Mutter_des_K%C3%BCnstlers;https://de.wikipedia.org/wiki/James_McNeill_Whistler
Christina’s World (1948);Andrew Wyeth (1917-2009);https://de.wikipedia.org/wiki/Christina%E2%80%99s_World;https://de.wikipedia.org/wiki/Andrew_Wyeth
Caféterrasse am Abend (1888);Vincent van Gogh (1853-1890);https://de.wikipedia.org/wiki/Caf%C3%A9terrasse_am_Abend;https://de.wikipedia.org/wiki/Vincent_van_Gogh
